Number of cities (n)	Execution time (s)	minLength	minPath	maxLength	maxPath
3	   0.034	683	[0,1,2]	683	[0,1,2]
4	   0.013	862	[0,1,3,2]	1335	[0,2,1,3]
5	   0.015	980	[0,1,3,2,4]	1497	[0,2,1,4,3]
6	   0.015	1125	[0,1,3,2,4,5]	1794	[0,2,1,5,3,4]
7	   0.016	1125	[0,1,6,3,2,4,5]	2335	[0,2,1,5,3,4,6]
8	   0.012	1137	[0,1,6,3,7,2,4,5]	2909	[0,2,1,7,5,3,4,6]
9	   0.015	1153	[0,1,6,3,7,2,8,4,5]	2940	[0,2,1,7,5,3,4,6,8]
10	   0.012	1279	[0,1,6,3,9,7,2,8,4,5]	3549	[0,2,1,7,5,3,4,6,8,9]
11	   0.013	1336	[0,4,5,10,1,6,3,9,7,2,8]	4107	[0,2,1,7,10,8,6,4,3,5,9]
12	   0.013	1333	[0,4,5,10,1,11,6,3,9,7,2,8]	4508	[0,2,1,7,11,8,10,3,5,9,4,6]
13	   0.018	1568	[0,4,5,10,12,1,11,6,3,9,7,2,8]	5044	[0,3,5,9,10,7,1,2,12,8,11,4,6]
14	   0.019	1572	[0,4,5,10,12,1,11,13,6,3,9,7,2,8]	5461	[0,3,1,2,12,8,11,7,10,9,5,13,4,6]
15	   0.033	1584	[0,4,5,10,12,1,11,13,6,3,9,7,2,14,8]	5680	[0,3,5,13,8,11,7,1,2,12,14,10,9,4,6]
16	   0.062	1570	[0,1,15,8,14,2,7,9,3,6,13,11,12,10,5,4]	5783	[0,2,1,7,11,8,12,14,10,3,4,6,15,9,5,13]
17	   0.124	1823	[0,1,15,8,14,2,7,16,9,3,6,13,11,12,10,5,4]	6683	[0,2,12,14,10,16,1,7,11,8,13,5,3,4,6,15,9]
18	   0.270	1839	[0,1,15,8,14,2,7,16,9,3,6,13,11,12,10,17,5,4]	7122	[0,2,1,16,10,7,11,8,12,14,17,3,4,6,15,9,5,13]
